"시점",합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점",평균기온 (℃),평균최고기온 (℃),최고극값기온 (℃),평균최저기온 (℃),최저극값기온 (℃),강수량 (mm),평균상대습도 (%),평균최소습도 (%),평균해면기압 (hpa),이슬점온도 (℃),평균운량 (10%),일조시간 (시간),최심신적설 (cm),평균풍속 (m/s),최대풍속 (m/s),최대순간풍속 (m/s)
"2012",12.6,17.6,36.9,8.1,-14.4,1409.5,68.0,10.0,1016.2,6.0,5.1,2367.6,7.5,1.8,13.9,22.8
"2013",13.1,18.3,35.0,8.4,-16.5,1120.2,73.0,11.0,1016.3,7.7,4.9,2513.1,6.7,1.6,8.4,15.9
"2014",13.4,18.9,34.9,8.8,-10.7,1117.7,72.0,14.0,1016.8,7.9,5.0,2378.3,6.6,1.5,10.1,16.8
"2015",14.0,19.4,36.3,9.2,-12.4,822.7,70.0,7.0,1016.7,7.8,5.0,2417.9,40.0,1.5,9.1,16.5
"2016",12.9,19.4,35.7,7.3,-19.3,1056.0,70.0,8.0,10168.1,79.2,51.8,2033.4,43.0,1.5,7.9,14.8
"2017",13.4,18.9,35.9,8.5,-11.8,1095.7,68.0,12.0,10170.6,68.1,46.5,2193.3,10.0,15.6,9.9,17.0
"2020",13.7,24.2,35.4,9.2,-13.2,1614.0,71.0,9.0,1017.1,7.8,5.3,1600.9,2.0,1.4,8.1,16.5
