,지역,연평균 미세먼지(PM-10),낮시간 소음도 ,국토면적,산림면적,임목축적,산림율,평균 임목축적,2019년 가로수 조성 현황(종),자치단체명,세입총계,해면기압 10년 평균(hPa),평균기온 10년 평균(℃),최고기온 10년 평균(℃),최저기온 10년 평균(℃),강수량 10년 평균(㎜),상대습도 10년 평균(%),일조시간 10년 평균(시간),나무종류,나무수량
31,대구광역시 백합나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,백합나무,2460.0
32,대구광역시 배롱나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,배롱나무,5973.0
33,대구광역시 이팝나무,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,이팝나무,23759.0
34,대구광역시 곰솔,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,곰솔,
35,대구광역시 무궁화,3062618,67,88349,48338,8745821,54.71,180.93,은행나무,대구본청,11649756416000,1016.7,14.9,20.1,10.4,1110.1,56.8,2442.3,무궁화,518.0
36,인천광역시 벚나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,벚나무,5231.0
37,인천광역시 왕벚나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,왕벚나무,30288.0
38,인천광역시 은행나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,은행나무,45577.0
39,인천광역시 메타세쿼이어,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,메타세쿼이어,14570.0
40,인천광역시 양버즘나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,양버즘나무,16338.0
41,인천광역시 단풍나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,단풍나무,930.0
42,인천광역시 중국단풍,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,중국단풍,10277.0
43,인천광역시 백합나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,백합나무,6640.0
44,인천광역시 배롱나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,배롱나무,41.0
45,인천광역시 이팝나무,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,이팝나무,24215.0
46,인천광역시 곰솔,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,곰솔,5340.0
47,인천광역시 무궁화,6772237,66,106523,39373,5705792,36.96,144.92,은행나무,인천본청,15379013711000,1016.5,12.6,16.4,9.4,1102.7,70.7,2560.9,무궁화,700.0
48,광주광역시 벚나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,벚나무,1095.0
49,광주광역시 왕벚나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,왕벚나무,2394.0
50,광주광역시 은행나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,은행나무,43396.0
51,광주광역시 메타세쿼이어,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,메타세쿼이어,10591.0
52,광주광역시 양버즘나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,양버즘나무,4963.0
53,광주광역시 단풍나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,단풍나무,
54,광주광역시 중국단풍,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,중국단풍,4974.0
55,광주광역시 백합나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,백합나무,1228.0
56,광주광역시 배롱나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,배롱나무,4478.0
57,광주광역시 이팝나무,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,이팝나무,17231.0
58,광주광역시 곰솔,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,곰솔,421.0
59,광주광역시 무궁화,1763931,63,50113,18944,2806238,37.8,148.13,은행나무,광주본청,7467959832000,1016.8,14.4,19.7,10.2,1347.1,68.7,2297.7,무궁화,191.0
60,대전광역시 벚나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,벚나무,9435.0
61,대전광역시 왕벚나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,왕벚나무,31372.0
62,대전광역시 은행나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,은행나무,25157.0
63,대전광역시 메타세쿼이어,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,메타세쿼이어,5823.0
64,대전광역시 양버즘나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,양버즘나무,11067.0
65,대전광역시 단풍나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,단풍나무,3376.0
66,대전광역시 중국단풍,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,중국단풍,6186.0
67,대전광역시 백합나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,백합나무,2557.0
68,대전광역시 배롱나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,배롱나무,4932.0
69,대전광역시 이팝나무,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,이팝나무,21824.0
70,대전광역시 곰솔,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,곰솔,67.0
71,대전광역시 무궁화,1452646,66,53966,29764,5006992,55.15,168.22,왕벚나무,대전본청,7540100248000,1016.8,13.4,18.8,8.8,1291.2,69.3,2421.0,무궁화,6983.0
72,울산광역시 벚나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,벚나무,
73,울산광역시 왕벚나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,왕벚나무,34617.0
74,울산광역시 은행나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,은행나무,27048.0
75,울산광역시 메타세쿼이어,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,메타세쿼이어,5262.0
76,울산광역시 양버즘나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,양버즘나무,702.0
77,울산광역시 단풍나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,단풍나무,
78,울산광역시 중국단풍,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,중국단풍,422.0
79,울산광역시 백합나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,백합나무,80.0
80,울산광역시 배롱나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,배롱나무,3293.0
81,울산광역시 이팝나무,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,이팝나무,13895.0
82,울산광역시 곰솔,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,곰솔,13143.0
83,울산광역시 무궁화,3212799,60,106209,68001,11401826,64.03,167.67,왕벚나무,울산본청,5194230336000,1015.9,14.5,19.4,10.3,1278.3,65.2,2415.2,무궁화,24942.0
84,세종특별자치시 벚나무,886891,64,46491,24849,3839903,53.45,154.53,왕벚나무,세종본청,2503293576000,1016.71,13.3,19.5,8.5,1176.5,70.3,2214.9,벚나무,
